UTC	Pack_count	IMUTemp	q0	q1	q2	q3	Roll	Pitch	Yaw	RollRate	PitchRate	YawRate	AccX	AccY	AccZ	RealAccX	RealAccY	RealAccZ	PosX	PosY	PosZ	Long	Lat	Height	VelX	VelY	VelZ	RSSI	SNR
13:09:36:41	598	26.5781	0.81494	-0.0022373	-0.0019836	0.57959	70.8413	-0.0366469	0.0270996	-0.064453	0.0040779	0.0271	0.75586	1.4424	0.23926	1.61816	-0.306885	10.0234	0	0	0	24.78623	120.9975	145.0004	0.7260742	-0.2177734	145.0004	-31	6.5
13:09:36:75	599	26.5781	0.8125	-0.00052691	-0.0013952	0.58301	71.3226	-0.0946967	0.0447083	0.040009	0.14294	0.044708	1.5322	1.1436	1	1.57715	-1.1084	10.7891	0	0	0	24.78623	120.9975	145.0271	0.7802734	-0.2266846	145.0271	-35	5.25
13:09:37:08	600	26.5625	0.80908	-0.0018768	-0.0016556	0.5874	71.9602	-0.0271724	0.00379372	0.22791	0.046051	0.0037937	-0.15649	2.1426	1.7852	1.98926	0.78125	11.5781	0	0	0	24.78623	120.9975	145.0361	0.8081055	-0.2139893	145.0361	-37	6.25
13:09:37:42	601	26.5625	0.80713	-0.00065136	-0.0023632	0.59033	72.3636	-0.174519	0.0643311	0.13794	0.19275	0.064331	1.1152	0.11713	-1.3447	0.45874	-1.0479	8.4375	0	0	0	24.78622	120.9975	145.092	0.8085938	-0.213501	145.092	-36	6.5
13:09:37:76	602	26.5625	0.80176	-0.0061913	-0.0059662	0.59766	73.4051	-0.124115	0.0723877	0.27295	0.28662	0.072388	1.4365	0.521	3.7793	0.900391	-1.42188	13.5469	0	0	0	24.78622	120.9975	145.1394	0.8378906	-0.1962891	145.1394	-38	6.5
13:09:38:10	603	26.5469	0.7959	-0.0035152	-0.0022068	0.60547	74.5229	0.042623	0.0808716	-0.17053	0.047638	0.080872	-2.084	1.1123	2.627	0.502441	2.18164	12.4375	0	0	0	24.78622	120.9975	145.2113	0.8081055	-0.1555176	145.2113	-38	6.75
13:09:38:44	604	26.5469	0.78418	-0.0045166	0.00016057	0.62061	76.7155	0.335598	0.210205	0.016037	0.20032	0.21021	-2.2285	-1.4717	-2.2031	-1.998	1.7852	7.582	0	0	0	24.78622	120.9975	145.2873	0.8544922	-0.1591797	145.2873	-39	6.5
13:09:38:78	605	26.5469	0.76807	-0.0047455	0.0011797	0.64014	79.617	0.45206	0.0738525	-0.086243	0.064575	0.073853	0.20142	1.3701	0.30908	1.29883	-0.019104	10.1094	0	0	0	24.78622	120.9975	145.3546	0.8427734	-0.09020996	145.3546	-41	6.5
13:09:39:11	606	26.5625	0.7627	-0.0028591	0.0014896	0.64648	80.5709	0.34212	0.0089798	0.0672	0.11591	0.0089798	0.83301	-1.8896	-1.6709	-1.7852	-1.1455	8.1016	0	0	0	24.78622	120.9975	145.4309	0.8461914	-0.07037354	145.4309	-41	6.5
13:09:39:45	607	26.5625	0.75684	-0.0023994	0.00055265	0.65381	81.6452	0.227637	0.0622253	-0.0021744	0.048218	0.062225	-1.3955	0.13416	0.87891	-0.116028	1.36914	10.6719	0	0	0	24.78622	120.9975	145.4774	0.8725586	-0.03884888	145.4774	-42	5.75
13:09:39:79	608	26.5625	0.74756	-0.00066614	-6.54E-05	0.66455	83.2717	0.0451054	0.0679321	-0.065247	-0.060577	0.067932	-0.50049	-0.66455	-2.1035	-0.71924	0.40601	7.6875	0	0	0	24.78622	120.9975	145.4821	0.8422852	-0.01829529	145.4821	-42	6.25
